epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,121.207,2.76165,0.28938,0.65753,2.24394,0.000137931,0.000137931,0.000137931
2,240.095,2.04178,0.51541,0.92637,1.45426,0.000263223,0.000263223,0.000263223
3,361.71,1.46041,0.64041,0.95719,1.12603,0.000374754,0.000374754,0.000374754
4,479.077,1.19051,0.68836,0.96404,1.01915,0.000355076,0.000355076,0.000355076
5,596.453,0.98718,0.75342,0.97432,0.88879,0.000334434,0.000334434,0.000334434
6,714.827,0.82187,0.75685,0.97603,0.79359,0.000313792,0.000313792,0.000313792
7,832.125,0.69061,0.77055,0.98801,0.71603,0.000293151,0.000293151,0.000293151
8,946.161,0.59489,0.78938,0.97945,0.71411,0.000272509,0.000272509,0.000272509
9,1062.05,0.50312,0.77911,0.97945,0.72534,0.000251868,0.000251868,0.000251868
10,1171.78,0.44935,0.7774,0.97774,0.79837,0.000231226,0.000231226,0.000231226
11,1295.04,0.40917,0.78596,0.97774,0.70036,0.000210585,0.000210585,0.000210585
12,1415.43,0.36341,0.79281,0.98459,0.74606,0.000189943,0.000189943,0.000189943
13,1530.46,0.31835,0.79795,0.9863,0.71888,0.000169302,0.000169302,0.000169302
14,1644.79,0.28534,0.78938,0.99144,0.74315,0.00014866,0.00014866,0.00014866
15,1757.67,0.2497,0.79452,0.98973,0.73981,0.000128019,0.000128019,0.000128019
16,1871.18,0.24065,0.80651,0.98801,0.73822,0.000107378,0.000107378,0.000107378
17,1985.99,0.21651,0.7911,0.99144,0.73984,8.6736e-05,8.6736e-05,8.6736e-05
18,2096.53,0.18522,0.80822,0.99144,0.70916,6.60945e-05,6.60945e-05,6.60945e-05
19,2205.26,0.19142,0.79452,0.98973,0.73715,4.5453e-05,4.5453e-05,4.5453e-05
20,2320.69,0.18193,0.80479,0.99486,0.76004,2.48115e-05,2.48115e-05,2.48115e-05
